spotify_track_uri,platform,ms_played,track_name,artist_name,album_name,reason_start,reason_end,shuffle,skipped,date,time,hour,time_of_day,text_features,recommended_tracks
54FxYkqJZEEYSwNDemLigt,android,452106,Noches de Boda / Y Nos Dieron las Diez - Directo Luna Park,Joaquín Sabina,500 Noches para una Crisis (En Directo),trackdone,trackdone,False,False,2024-03-01,04:33:00,4,Late Night,Noches de Boda / Y Nos Dieron las Diez - Directo Luna Park Joaquín Sabina,"Noches de Boda / Y Nos Dieron las Diez - Directo Luna Park, Noches de Boda / Y Nos Dieron las Diez - Directo Luna Park, Noches de Boda / Y Nos Dieron las Diez - Directo Luna Park, Noches de Boda / Y Nos Dieron las Diez - Directo Luna Park, Y Nos Dieron las Diez, 19 Dias y 500 Noches - En Directo, 19 Dias y 500 Noches - En Directo, 19 Dias y 500 Noches - En Directo, 19 Dias y 500 Noches - En Directo, 19 Dias y 500 Noches - En Directo"
7mc2TP4Vzuyw2vNf1bLW9f,android,21501,Twentieth Century Fox,The Doors,The Doors,trackdone,logout,True,False,2021-03-03,05:06:00,5,Morning,Twentieth Century Fox The Doors,"Here Without You, Light My Fire, Kryptonite, Love Me Tender - From the 20th Century-Fox CinemaScope Production, ""Love Me Tender"", Love Me Tender - From the 20th Century-Fox CinemaScope Production, ""Love Me Tender"", Here Comes The Sun - Remastered 2009, Times Like These, Alone Together, Memories, In the Flesh?"
3VbGCXWRiouAq8VyMYN2MI,cast to device,141694,Love Me Do - Remastered 2009,The Beatles,Please Please Me,trackdone,trackdone,False,False,2020-04-15,14:20:00,14,Afternoon,Love Me Do - Remastered 2009 The Beatles,"Love Me Do - Remastered 2009, Love Me Do - Remastered 2009, Love Me Do - Remastered 2009, Love Me Do - Remastered 2009, Here, There And Everywhere - Remastered 2009, Because - Remastered 2009, Two Of Us - Remastered 2009, You Can't Do That - Remastered 2009, Something - Remastered 2009, Back In The U.S.S.R. - Remastered 2009"
1yKah8BCP3Vgq2tPBOLKL0,android,212600,All Your Love - Stereo,Sam Maghett,Blues Breakers,trackdone,trackdone,True,False,2021-01-20,23:42:00,23,Night,All Your Love - Stereo Sam Maghett,"All Your Love - Stereo, All Your Love - Stereo, All Your Love - Stereo, I'm Not The Only One, I'm Not The Only One, I'm Not The Only One, Sam's Town, Sam's Town, Sam's Town, Key To Love - Stereo"
2FY7b99s15jUprqC0M5NCT,android,129107,Natural,Imagine Dragons,Origins,appload,fwdbtn,True,False,2022-06-17,23:49:00,23,Night,Natural Imagine Dragons,"Only, Love, My Life, It Comes Back To You, It Comes Back To You, On Top Of The World, On Top Of The World, On Top Of The World, Dream, The Fall"
2mVT3308uLB8s5voUfmnY4,android,202106,The Best in Me,Malted Milk,"Love, Tears & Guns",trackdone,trackdone,False,False,2023-05-02,18:52:00,18,Evening,The Best in Me Malted Milk,"The Best, The Best, Did My Best, Did My Best, Did My Best, Did My Best, Did My Best, Did My Best, Sour Milk Sea - Esher Demo, Sour Milk Sea - Esher Demo"
7rgZTzcjofQJY5kz9FO3OS,android,152310,Under Pressure,Queen,Hot Space,trackdone,endplay,True,True,2024-06-03,22:23:00,22,Night,Under Pressure Queen,"Under Pressure, Pressure Machine - Abridged, The March Of The Black Queen - Remastered 2011, We Will Rock You, Modern Pressure, Modern Pressure, Don't Stop Me Now, The Art of Peer Pressure, Queen of California, Queen of California"
2NOa1O7ExfvdaWCmoeDXIV,android,169324,One Of These Days - Remastered 2011,Paul McCartney,McCartney II,fwdbtn,fwdbtn,True,False,2019-01-01,02:23:00,2,Late Night,One Of These Days - Remastered 2011 Paul McCartney,"One Of These Days - Remastered 2011, One Of These Days - Remastered 2011, That Would Be Something - Remastered 2011, That Would Be Something - Remastered 2011, Every Night - Remastered 2011, Every Night - Remastered 2011, Junk - Remastered 2011, Junk - Remastered 2011, Oo You - Remastered 2011, Oo You - Remastered 2011"
2bEWRMWfH5n8QEuXgVlcxf,android,286706,Why Am I the One,fun.,Some Nights,fwdbtn,trackdone,True,False,2019-08-02,21:24:00,21,Night,Why Am I the One fun.,"Why Am I the One, Why Am I the One, Fun, Carry On, Some Nights, Be Calm, Please Leave A Light On When You Go, Some Nights - Intro, Some Nights - Intro, Out on the Town - Bonus Track"
6255IIBwKySv6RYrOeHfQh,android,188910,All the Debts I Owe,Caamp,Caamp,fwdbtn,endplay,False,False,2019-10-05,05:21:00,5,Morning,All the Debts I Owe Caamp,"All the Debts I Owe, No Sleep, Square One, Vagabond, Vagabond, Keep the Blues Away, Keep the Blues Away, Here Comes The Sun - Remastered 2009, Times Like These, Alone Together"
1SW1BedvKrjZBDRRirzBCK,android,1281,Little Lion Man,Mumford & Sons,Sigh No More,fwdbtn,fwdbtn,True,False,2020-09-28,03:09:00,3,Late Night,Little Lion Man Mumford & Sons,"Forever, I Will Wait, The Cave, The Cave, The Cave, The Cave, The Cave, The Cave, After The Storm, Sigh No More"
6J4lRYUiuWO7BLOntAJnUx,android,106624,Busload of Faith,Lou Reed,New York,trackdone,fwdbtn,True,False,2018-08-10,19:19:00,19,Evening,Busload of Faith Lou Reed,"Busload of Faith, Busload of Faith, There Is No Time, Hold On, Hold On, Going Down, Going Down, Going Down, I'm So Free, I Can't Stand It"
2fSIF8CJhoc9CJhF9vJDXp,android,200723,Jolene,Ray LaMontagne,Trouble,fwdbtn,unexpected-exit-while-paused,True,False,2018-08-06,00:34:00,0,Late Night,Jolene Ray LaMontagne,"Jolene, Jolene, I Was Born To Love You, Sister Ray, Lenny, Little Wing, Pride and Joy, Pride and Joy, Riviera Paradise, Riviera Paradise"
11BAVEGi1ivJ6JWLqKUNrZ,android,77273,Catch & Release - Deepend Remix,Matt Simons,When The Lights Go Down,fwdbtn,unexpected-exit-while-paused,True,False,2017-03-13,09:34:00,9,Morning,Catch & Release - Deepend Remix Matt Simons,"Laid, Laid, Laid, Release Your Problems, Good Times, Good Times, Burn It Down - Innerpartysystem Remix, Calypso - Remix, Closer - Presets Remix, Closer - Presets Remix"
6FT83pFXKhDlXDsNJFAHWz,android,23,You Never Can Tell,Chuck Berry,St. Louis To Liverpool,fwdbtn,fwdbtn,True,True,2023-05-21,04:53:00,4,Late Night,You Never Can Tell Chuck Berry,"You Never Can Tell, You Never Can Tell, You Never Can Tell, You Never Can Tell, Johnny B. Goode, Johnny B. Goode, Roll Over Beethoven, Roll Over Beethoven, Tell Me Why - Remastered 2009, Tell Me What You See - Remastered 2009"
5Aq5TIy9jVK70aL7xcE9oa,windows,222720,Dear Marie,John Mayer,Paradise Valley,trackdone,trackdone,False,False,2017-03-24,04:38:00,4,Late Night,Dear Marie John Mayer,"Dear Marie, Dear Prudence - Remastered 2009, Martha My Dear - Remastered 2009, Martha My Dear - Remastered 2009, Martha My Dear - Remastered 2009, Dear Prudence - Remastered 2009, Dear Prudence - Remastered 2009, Absolutely Sweet Marie, In the Blood, In the Blood"
6tS8RDCI7IcC8tf2BvR6np,android,118413,Blanco Bootleg,Bruno Borlone,Blanco Bootleg,trackdone,trackdone,False,False,2024-09-20,01:03:00,1,Late Night,Blanco Bootleg Bruno Borlone,"Lonely (with benny blanco), Lonely (with benny blanco), When I Was Your Man, It Will Rain, It Will Rain, If I Knew, If I Knew, If I Knew, Marry You, Marry You"
